"BATCH","Eff1","Eff2","Eff3","SE1","SE2","SE3","VAR11","VAR12","VAR13","VAR21","VAR22","VAR23","VAR31","VAR32","VAR33"
94,-2.00866596833063,-2.36744325388474,-1.70087731978631,0.231681173885994,0.172103897743709,0.225826987407573,0.053676166333192,0.0120111415394829,0.0407282524343331,0.0120111415394829,0.0296197516185769,0.0170713887761174,0.0407282524343331,0.0170713887761174,0.05099782824158
95,-2.640455622123,-2.23579578094072,-2.23909464202361,0.601430291898273,0.180282919661607,0.282309439398719,0.361718396012842,0.0369218105310308,0.140859647250753,0.0369218105310308,0.0325019311217134,0.0355508635871469,0.140859647250753,0.0355508635871469,0.0796986195736191
96,-2.27332095061856,-2.74555785735742,-2.40726458694751,0.276836198800794,0.253697508038827,0.252124049606581,0.0766382809664727,0.0472563821212992,0.0607112709646372,0.0472563821212992,0.0643624255851104,0.0580688393107576,0.0607112709646372,0.0580688393107576,0.0635665363900219
97,-1.98829800699102,-2.14813986370838,-2.02888428311673,0.180011944787726,0.168024998331853,0.165211021771394,0.0324043002662594,0.0165184061827122,0.0229806596977504,0.0165184061827122,0.0282324000644193,0.0210565012342437,0.0229806596977504,0.0210565012342437,0.027294681714748
98,-4.33036781525131,-2.89943282872365,-2.72545153183495,2.19620739780499,0.42874427752396,0.689582505771134,4.82332693417336,0.886912525947382,1.47481182533976,0.886912525947382,0.183821655509543,0.291162985029579,1.47481182533976,0.291162985029579,0.475524032265596
99,-2.13929439459736,-2.29957352865785,-2.19316209061267,0.247439444792176,0.203829370538714,0.196350214929945,0.0612262788390602,0.0354862579728802,0.0440410361870101,0.0354862579728802,0.0415464122942084,0.0350594154016147,0.0440410361870101,0.0350594154016147,0.0385534069030355
100,-2.33005968540351,-3.27923800840657,-2.13763368064985,0.261803959905241,0.494371203957792,0.177222592858299,0.0685413134220649,0.0486184610326684,0.0342860574371215,0.0486184610326684,0.244402887302677,0.0450050000405591,0.0342860574371215,0.0450050000405591,0.0314078474194184
101,-1.78207075785294,-2.44077869603482,-4.21932429292538,0.220990149558178,0.330977007332347,1.59412541861873,0.0488366462017458,0.0379390783238185,-0.0725638900632217,0.0379390783238185,0.109545779382677,0.317618121267313,-0.0725638900632217,0.317618121267313,2.54123585028635
102,-1.67127526613633,-3.12470573449436,-2.29466311235559,0.817895397230166,0.451745199384725,1.09332017484201,0.668952880810291,-0.0855926226842911,0.831108815494881,-0.0855926226842911,0.204073725167145,0.00632851000742616,0.831108815494881,0.00632851000742616,1.19534900471656
103,-2.56575535595756,-2.12887088561611,-1.24972806644025,0.481629139075193,0.190912945245055,0.562505145639249,0.231966627606311,0.0056574479235843,-0.174567476680511,0.0056574479235843,0.0364477526621414,0.0125370786170731,-0.174567476680511,0.0125370786170731,0.316412038870633
