"alphaW","Original.Est_B001","Original.Est_B002","Original.Est_B003","Original.Est_B004","Original.Est_B005","Original.Est_B006","Original.Est_B007","Original.Est_B008","Original.Est_B009","Original.Est_B010","Original.Est_B011","Original.SE_B001","Original.SE_B002","Original.SE_B003","Original.SE_B004","Original.SE_B005","Original.SE_B006","Original.SE_B007","Original.SE_B008","Original.SE_B009","Original.SE_B010","Original.SE_B011"
0.31,-2.02685528681035,-1.88967977197847,-1.93635709063962,-1.71287897598752,-1.95292284743952,-1.93902335946021,-2.01446144798392,-1.95072804402661,-1.75732082940785,-1.91031678076115,-1.87887973954994,0.353260441945725,0.369643177273293,0.360803603742365,0.399092876478855,0.37091110582007,0.36163169432247,0.362062347601104,0.388872887903726,0.379665081777366,0.381572939962554,0.359437706093653
0.32,-1.750605841609,-1.87990596756008,-1.88677210979038,-1.89930564543259,-1.50837199034229,-1.90124372022555,-1.4993277751968,-1.84949656709127,-1.8964014839798,-1.60668324910182,-1.87114534566181,0.375875982325631,0.369785074453706,0.412625054128228,0.368429829170152,0.349340014264342,0.381584199036173,0.34904200858265,0.361105533668948,0.376121942193,0.396749127410557,0.376579555056792
0.33,-1.78232177455693,-1.78634493919452,-1.78663658373795,-1.80724560706648,-1.94921511973062,-1.79597641784265,-1.71045557152957,-1.7870080305718,-1.76434035840993,-1.73593225531815,-1.71869959489902,0.367889296968396,0.368454149263419,0.371947175881525,0.362667414861947,0.364670676668642,0.368172402530151,0.366678825932764,0.373969396412232,0.369978806549108,0.370441499078727,0.367882037229591
0.34,-1.82729077753508,-1.9053388483906,-1.73335094572524,-1.85777613795587,-1.68301352224935,-1.82917768690442,-1.92995226059427,-1.83603568868704,-1.76039163307399,-1.97633857313815,-1.8405289362724,0.370268898298234,0.365904108755322,0.362041950866769,0.366862672990055,0.361355838839624,0.366822488787812,0.351220054071604,0.368872202543997,0.368019427564255,0.353834926927443,0.379853731522429
0.35,-1.80824355209022,-1.77475789679573,-1.81804416292122,-1.91327167848383,-1.82415646384067,-1.77044991014881,-1.89619349121835,-1.80761793605389,-1.84681440880229,-1.95413290272494,-1.60109226389172,0.363645905168003,0.371637617579959,0.363327015355261,0.347066850034369,0.363435130358176,0.37213035169291,0.356065704379664,0.363686869315125,0.36424309516718,0.368225775207368,0.361718200819719
0.36,-1.75354247020229,-1.79316339569269,-1.80093845564774,-1.87827281748245,-1.80195157429396,-1.78539033040951,-2.04554202941919,-1.81617414926179,-1.80561829210626,-1.80203960186156,-1.6400800593585,0.379657782133051,0.36226923656249,0.362125219474164,0.378648298804656,0.362139483865714,0.362800823009432,0.382575436439014,0.36193476991129,0.362671873600153,0.361964008221635,0.391989273840542
0.37,-1.79476700596394,-1.85105063153928,-1.56473649824153,-1.82855615674039,-1.80540628202228,-1.88701970413588,-1.79762504211139,-1.59679167588856,-1.83881494910504,-1.77819983905157,-1.82160653495883,0.361021770989835,0.360463050220645,0.371767379251617,0.357802700836145,0.359524403857407,0.358809063167753,0.360900359459176,0.379972453346704,0.369634860816993,0.356575857578912,0.358189109945345
0.38,-1.65013332042432,-1.6850216557474,-1.88243568674285,-1.537052660111,-1.63112356419925,-1.64965749854804,-1.87337457910382,-1.88060307985942,-1.75874333312815,-1.81081508523246,-1.54059689078516,0.391061617429118,0.381479076301767,0.351217590721975,0.386678653815732,0.364608091655447,0.39106600760654,0.357719196950082,0.354039361163133,0.359664962855138,0.357881942841903,0.386647579795851
0.39,-1.87078027948919,-1.64945910069055,-1.51257160349,-1.87054905340235,-1.67766341106533,-1.85228590471934,-1.99099402823014,-1.63019290392284,-1.77215940577705,-1.73903607145195,-1.51320456822418,0.351176435358176,0.364727206619174,0.354963628201696,0.351187978247824,0.366865684141139,0.353885761921361,0.377989669319089,0.356966111968216,0.362687041418934,0.36033265924564,0.38586752773305
0.4,-1.5434766541994,-1.34358729390023,-1.71306571807683,-1.53268249006569,-1.68256084235157,-1.74690611004627,-1.42326611786357,-1.66356742369209,-1.67055027173963,-1.49835001112275,-1.57423354261582,0.355879848524653,0.375544567395209,0.366605709427159,0.360937761717001,0.36269252718087,0.359708398888162,0.352848051185696,0.358433061539128,0.35794031285304,0.38209271969046,0.404516869590316
0.41,-1.81001131866631,-1.5440184435434,-1.77087304536344,-1.8474732984568,-1.78213460310288,-1.67128605463554,-1.7338411958389,-1.84076744275805,-1.77670042565991,-1.73636255490789,-1.72832604781417,0.362641424529861,0.386523771408057,0.353838950337846,0.360647898951162,0.35799033021687,0.358322200972186,0.357207668324472,0.364209904546764,0.354489912025461,0.372209698221269,0.354917547025046
